MK001 Algoritma_Pemrograman 3
MK002 Struktur_Data 3
MK003 Basis_Data 3
MK004 Pemrograman_Berorientasi_Objek 3
MK005 Sistem_Operasi 3
MK006 Jaringan_Komputer 3
MK007 Kecerdasan_Buatan 3
MK008 Pemrograman_Web 3
MK009 Rekayasa_Perangkat_Lunak 3
MK010 Analisis_Desain_Sistem 3
MK011 Matematika_Diskrit 2
MK012 Statistika 2
MK013 Kalkulus 3
MK014 Bahasa_Indonesia 2
MK015 Bahasa_Inggris 2
MK016 Kewirausahaan 2
MK017 Manajemen_Proyek 3
MK018 Keamanan_Informasi 3
MK019 Interaksi_Manusia_Komputer 3
MK020 Etika_Profesi 2
MK021 Dasar-dasar_Pemrograman 4
#### #### -999
